menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
1,1,1917,1917,0.5,0.5
2,2,1939,1939,0.35,0.4
1,1,1914,1914,0.6,0.6
1,1,1912,1912,0.5,0.85
3,3,1937,1938,0.3,0.3
1,1,1917,1917,0.65,0.65
1,1,1919,1919,0.8,0.8
1,1,1913,1913,0.25,0.25
1,1,1958,1958,0.85,0.85
1,1,1900,1900,0.5,0.85
1,1,1987,1987,17.0,17.0
1,1,1913,1913,0.2,0.2
4,4,1946,1957,2.0,4.0
1,1,1917,1917,0.25,0.25
1,1,1905,1905,0.85,0.85
1,1,1905,1905,0.6,0.6
2,2,1900,1900,1.25,1.25
2,2,1919,1919,0.2,0.2
2,2,1899,1900,0.3,0.3
3,3,1901,1901,0.08,0.8
1,1,1900,1900,5.0,5.0
2,2,1954,1961,1.5,1.5
1,1,1906,1906,0.2,0.2
1,1,1897,1897,1.5,1.5
10,10,1900,1918,0.25,0.4
1,1,1905,1905,0.15,0.15
1,1,1976,1976,1.65,4.5
1,1,1901,1901,0.7,0.7
5,5,1917,1917,0.25,0.25
1,1,1955,1955,3.5,3.5
4,4,1914,1914,0.25,0.25
1,1,1993,1993,3.75,3.75
1,1,1915,1915,1.7,1.7
1,1,1927,1927,0.15,0.15
2,2,1967,1983,3.0,11.95
3,3,1907,1943,0.35,0.4
1,1,1912,1912,0.75,0.75
1,1,1966,1966,2.25,2.25
15,16,1913,2928,0.15,0.5
2,2,1961,1961,0.95,0.95
1,1,1917,1917,2.5,5.0
1,1,1962,1962,0.6,0.6
3,3,1912,1912,0.2,0.2
1,1,1959,1959,0.65,0.65
1,1,1998,1998,15.99,15.99
1,1,1901,1901,0.12,0.12
2,2,1988,1988,1.75,1.75
1,1,1984,1984,2.0,6.95
2,2,1951,1953,3.5,6.5
3,3,1912,1914,1.5,1.5
1,1,1954,1954,2.75,5.0
1,1,1964,1964,1.1,1.1
5,5,1896,1901,0.6,1.0
19,18,1937,1984,0.4,7.95
1,1,1917,1917,0.55,0.55
1,1,1913,1913,0.5,0.5
1,0,2006,2006,14.0,14.0
1,1,1957,1957,1.85,1.85
1,1,1933,1933,0.3,0.3
5,5,1954,1962,3.5,3.5
14,14,1898,1941,0.1,0.3
1,1,1941,1941,0.9,0.9
1,1,1915,1915,0.3,0.3
1,1,1986,1986,45.0,45.0
1,1,1900,1900,0.75,1.25
3,6,1914,1914,1.25,1.25
1,1,1901,1901,0.2,0.2
4,4,1900,1901,0.25,0.35
1,1,1920,1920,0.25,0.25
2,2,1941,1961,0.9,2.75
1,1,1948,1948,0.85,0.85
1,1,1918,1918,0.4,0.4
1,1,1991,1991,17.0,17.0
1,1,1918,1918,0.4,0.4
1,1,1917,1917,0.6,0.6
8,8,1900,1906,0.15,0.6
1,1,1957,1957,0.85,0.85
1,1,1985,1985,3.45,3.45
1,1,1914,1914,0.25,0.25
1,1,1900,1900,0.2,0.35
1,1,1865,1865,1.5,3.0
1,1,1933,1933,1.5,1.5
1,1,1905,1905,2.25,4.5
1,1,1905,1905,0.15,0.15
4,4,1913,1932,0.7,1.75
1,1,1962,1962,1.0,1.0
2,2,1946,1946,0.25,0.25
1,1,1915,1915,0.3,0.3
1,1,1940,1940,3.0,3.0
3,3,1913,1914,0.05,0.1
1,1,1920,1920,0.25,0.25
1,1,1987,1987,2.95,2.95
3,3,1941,1944,0.15,0.2
2,2,1913,1918,0.4,0.4
13,13,1900,1985,0.1,6.0
2,3,1914,1914,0.25,0.25
1,1,1971,1971,3.5,6.0
3,3,1901,1901,1.0,1.0
1,1,1979,1979,1.55,1.55
1,1,1914,1914,0.1,0.1
2,2,1959,1963,7.0,12.5
1,1,1955,1955,2.5,4.5
2,2,1962,1962,0.75,0.75
